Date,Open,High,Low,Close,Volume
06/02/2023,"124.49","126.75","124.35","125.23","19,367,449"
06/01/2023,"123.50","125.04","123.30","124.37","25,017,670"
05/31/2023,"123.70","124.90","123.10","123.37","41,548,762"
05/30/2023,"126.29","126.38","122.89","124.64","27,230,730"
05/26/2023,"124.07","126.00","123.29","125.43","25,169,039"
05/25/2023,"125.21","125.98","122.90","124.35","33,812,727"
05/24/2023,"121.88","122.75","120.75","121.64","23,087,930"
05/23/2023,"124.93","125.42","123.05","123.29","24,477,949"
05/22/2023,"123.51","127.05","123.45","125.87","29,760,240"
05/19/2023,"124.20","126.48","122.72","123.25","30,268,859"
05/18/2023,"121.56","123.90","121.49","123.52","27,014,471"
05/17/2023,"120.18","122.28","119.46","121.48","26,659,561"
05/16/2023,"116.83","121.20","116.83","120.09","32,370,109"
05/15/2023,"116.49","118.80","116.48","116.96","22,107,869"
05/12/2023,"117.00","118.26","116.55","117.92","31,293,779"
05/11/2023,"115.86","118.44","114.93","116.90","57,115,078"
05/10/2023,"108.55","113.51","108.48","112.28","47,533,461"
05/09/2023,"108.78","110.60","107.73","107.94","24,782,439"
05/08/2023,"105.80","108.42","105.79","108.24","17,266,020"
05/05/2023,"105.32","106.44","104.74","106.22","20,710,631"
05/04/2023,"106.16","106.30","104.70","105.21","19,780,641"
05/03/2023,"106.22","108.13","105.62","106.12","17,116,330"
05/02/2023,"107.66","107.73","104.50","105.98","20,343,119"
05/01/2023,"107.72","108.68","107.50","107.71","20,926,260"
04/28/2023,"107.80","108.29","106.04","108.22","23,957,869"
04/27/2023,"105.23","109.15","104.42","108.37","38,235,219"
04/26/2023,"105.56","107.02","103.27","104.45","37,068,168"
04/25/2023,"106.61","107.44","104.56","104.61","31,408,119"
04/24/2023,"106.05","107.32","105.36","106.78","21,410,910"
04/21/2023,"106.09","106.64","105.49","105.91","22,379,020"
04/20/2023,"104.65","106.89","104.64","105.90","22,515,330"
04/19/2023,"104.22","105.73","103.80","105.02","16,732,020"
04/18/2023,"107.00","107.05","104.78","105.12","17,641,369"
04/17/2023,"105.43","106.71","105.32","106.42","29,043,439"
04/14/2023,"107.69","109.58","107.59","109.46","20,758,689"
04/13/2023,"106.47","108.27","106.44","108.19","21,650,750"
04/12/2023,"107.39","107.59","104.97","105.22","22,761,570"
04/11/2023,"106.92","107.22","105.28","106.12","18,721,279"
04/10/2023,"107.39","107.97","105.60","106.95","19,741,520"
04/06/2023,"105.77","109.63","104.82","108.90","34,684,152"
04/05/2023,"106.12","106.54","104.10","104.95","21,864,199"
04/04/2023,"104.84","106.10","104.60","105.12","20,377,230"
04/03/2023,"102.67","104.95","102.38","104.91","20,719,859"
03/31/2023,"101.71","104.19","101.44","104.00","28,107,949"
